Plot_ID;Plot;Type;System;Position;Depth;Species;Wet_Weight;Dry_Weight;Ratio;Productivity 
45_IC_OP_M;45;OP;PERO;M;30;Herba;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;30;Herba;0,0005;0,0001;0,200;0,0010
45_IC_OP_M;45;OP;PERO;M;30;Herba;0,0012;0,0004;0,333;0,0042
45_IC_OP_M;45;OP;PERO;M;30;Herba;0,0019;0,0004;0,211;0,0042
45_IC_OP_M;45;OP;PERO;M;30;Herba;0,0044;0,0008;0,182;0,0083
45_IC_OP_M;45;OP;PERO;M;30;Herba;0,0069;0,0009;0,130;0,0094
45_IC_OP_M;45;OP;PERO;M;30;Herba;0,0068;0,0017;0,250;0,0177
45_IC_OP_M;45;OP;PERO;M;30;Herba;0,016;0,0025;0,156;0,0260
45_IC_OP_M;45;OP;PERO;M;30;Herba;0,0152;0,0027;0,178;0,0281
45_IC_OP_M;45;OP;PERO;M;30;Herba;0,0649;0,0202;0,311;0,2100
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,0042;0,002;0,476;0,0208
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,0049;0,0021;0,429;0,0218
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,0047;0,0023;0,489;0,0239
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,0056;0,0026;0,464;0,0270
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,0074;0,004;0,541;0,0416
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,0164;0,0082;0,500;0,0852
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,0736;0,0173;0,235;0,1798
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,1344;0,0365;0,272;0,3794
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,3679;0,1011;0,275;1,0508
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,608;0,1542;0,254;1,6027
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,8452;0,1558;0,184;1,6194
45_IC_OP_M;45;OP;PERO;M;30;Oil Palm;0,676;0,1916;0,283;1,9915
45_IC_OP_M;45;OP;PERO;M;30;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;30;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;30;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;30;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;30;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;30;Tree;0;0;;0,0000
45_IC_OP_M;45;OP;PERO;M;30;Tree;0,0131;0,0025;0,191;0,0260
45_IC_OP_M;45;OP;PERO;M;30;Tree;0,0129;0,0027;0,209;0,0281
45_IC_OP_M;45;OP;PERO;M;30;Tree;0,0306;0,0049;0,160;0,0509
45_IC_OP_M;45;OP;PERO;M;30;Tree;0,0232;0,0058;0,250;0,0603
45_IC_OP_M;45;OP;PERO;M;30;Tree;0,0293;0,0062;0,212;0,0644
45_IC_OP_M;45;OP;PERO;M;30;Tree;0,0317;0,009;0,284;0,0935
45_IC_OP_O;45;OP;PERO;O;10;Herba;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Herba;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Herba;0;0;;0,0000
45_IC_OP_O;45;OP;PERO;O;10;Herba;0,0078;0,0019;0,244;0,0197
45_IC_OP_O;45;OP;PERO;O;10;Herba;0,0127;0,0033;0,260;0,0343
45_IC_OP_O;45;OP;PERO;O;10;Herba;0,0359;0,0048;0,134;0,0499
45_IC_OP_O;45;OP;PERO;O;10;Herba;0,0143;0,0052;0,364;0,0540
45_IC_OP_O;45;OP;PERO;O;10;Herba;0,0275;0,0094;0,342;0,0977
