ChargeNr;ProbeNr;Originalbez;Pflanzenteil;CN-Einwaage(mg);Ctotal(%);Ntotal(%);Ctotal(mmol/g);Ntotal(mmol/g);Ctotal(mg/g);Ntotal(mg/g);Corg/Norg(mol/mol);Corg/Norg(g/g);ICP-Einwaage(mg);ICP-ALBlind(mg/l);ICP-Al(mg/l);ICP-AlGehalt(µmol/gTM);ICP-AlGehalt(mg/gTM);ICP-CaBlind(mg/l);ICP-Ca(mg/l);ICP-CaGehalt(µmol/gTM);ICP-CaGehalt(mg/gTM);ICP-CuBlind(mg/l);ICP-Cu(mg/l);ICP-CuGehalt(µmol/gTM);ICP-CuGehalt(mg/gTM);ICP-FeBlind(mg/l);ICP-Fe(mg/l);ICP-FeGehalt(µmol/gTM);ICP-FeGehalt(mg/gTM);ICP-KBlind(mg/l);ICP-K(mg/l);ICP-KGehalt(µmol/gTM);ICP-KGehalt(mg/gTM);ICP-MgBlind(mg/l);ICP-Mg(mg/l);ICP-MgGehalt(µmol/gTM);ICP-MgGehalt(mg/gTM);ICP-MnBlind(mg/l);ICP-Mn(mg/l);ICP-MnGehalt(µmol/gTM);ICP-MnGehalt(mg/gTM);ICP-NaBlind(mg/l);ICP-Na(mg/l);ICP-NaGehalt(µmol/gTM);ICP-NaGehalt(mg/gTM);ICP-PBlind(mg/l);ICP-P(mg/l);ICP-PGehalt(µmol/gTM);ICP-PGehalt(mg/gTM);ICP-ZnBlind(mg/l);ICP-Zn(mg/l);ICP-ZnGehalt(µmol/gTM);ICP-ZnGehalt(mg/gTM);ICP-SBlind(mg/l);ICP-S(mg/l);ICP-SGehalt(µmol/gTM);ICP-SGehalt(mg/gTM);ICP-BaBlind(mg/l);ICP-Ba(mg/l);ICP-BaGehalt(µmol/gTM);ICP-BaGehalt(mg/gTM);ICP-PbBlind(mg/l);ICP-Pb(mg/l);ICP-PbGehalt(µmol/gTM);ICP-PbGehalt(mg/gTM);ICP-SrBlind(mg/l);ICP-Sr(mg/l);ICP-SrGehalt(µmol/gTM);ICP-SrGehalt(mg/gTM);ICP-LiBlind(mg/l);ICP-Li(mg/l);ICP-LiGehalt(µmol/gTM);ICP-LiGehalt(mg/gTM);ICP-BBlind(mg/l);ICP-B(mg/l);ICP-BGehalt(µmol/gTM);ICP-BGehalt(mg/gTM);ICP-CdBlind(mg/l);ICP-Cd(mg/l);ICP-CdGehalt(µmol/gTM);ICP-CdGehalt(mg/gTM);ICP-NiBlind(mg/l);ICP-Ni(mg/l);ICP-NiGehalt(µmol/gTM);ICP-NiGehalt(mg/gTM);ICP-CrBlind(mg/l);ICP-Cr(mg/l);ICP-CrGehalt(µmol/gTM);ICP-CrGehalt(mg/gTM);ICP-SiBlind(mg/l);ICP-Si(mg/l);ICP-SiGehalt(µmol/gTM);ICP-SiGehalt(mg/gTM);ICP-SbBlind(mg/l);ICP-Sb(mg/l);ICP-SbGehalt(µmol/gTM);ICP-SbGehalt(mg/gTM)
595;595094;49_SRI_7188_tr_O;;4,428;40,819473;0,734819;34,01339305;0,52460841;408,19473;7,34819;64,8357754;55,55037771;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595095;49_SRI_7196_tr_O;;4,24;44,974308;0,878579;37,47546704;0,627242807;449,74308;8,78579;59,74634801;51,18982812;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595096;53_SRI_7215_tr_O;;4,73;39,309391;0,660049;32,75509624;0,471227957;393,09391;6,60049;69,51008684;59,55526181;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595097;54_SRI_7216_tr_O;;4,557;42,426743;0,851517;35,35267311;0,607922467;424,26743;8,51517;58,15325968;49,82489252;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595098;55_SRI_7217_tr_O;;4,376;38,021355;0,815142;31,68182235;0,581953309;380,21355;8,15142;54,44048836;46,64384242;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595099;54_SRI_MT_tr_O;;4,145;46,475784;0,706587;38,72659278;0,504452774;464,75784;7,06587;76,76951106;65,77503407;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595100;55_SRI_MT_tr_;;4,464;43,278671;0,660685;36,06255395;0,471682016;432,78671;6,60685;76,45522348;65,5057569;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595101;49_SRI_MT.Tube2_tr_S;;4,48;32,713486;0,946547;27,25896675;0,675767116;327,13486;9,46547;40,33781178;34,56086808;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595102;49_SRI_7195_tr_O;;4,136;35,271233;0,598413;29,39024498;0,427224245;352,71233;5,98413;68,79348567;58,94128804;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595103;49_SRI_7195_ab_O;;4,504;32,879662;1,018223;27,39743521;0,726938674;328,79662;10,18223;37,68878478;32,29121911;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595104;45_SRI_MT_ab;;4,256;41,835453;1,405118;34,8599725;1,003154137;418,35453;14,05118;34,75036508;29,77362257;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595105;;;;;;;;;;;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
